fid,sub score,from_user_id,comments_count,created_date,likes_count,shares_count,to_user,AF score
100000119596344_2456166617730634,,20,3,2018-07-01 17:00:00.000,17,0,100000119596344,20
100000119596344_2456223874391575,,18,0,2018-07-01 17:00:00.000,18,0,100000119596344,18
100000119596344_2456553897691906,,61,14,2018-07-01 17:00:00.000,51,0,100000119596344,61
100000119596344_2457061727641123,,16,3,2018-07-01 17:00:00.000,14,0,100000119596344,16
100000119596344_2457280724285890,0,126,180,2018-07-01 17:00:00.000,65,2,100000119596344,126
100000119596344_2458352594178703,,49,162,2018-07-02 17:00:00.000,16,2,100000119596344,49
100000119596344_2458408647506431,0,63,136,2018-07-02 17:00:00.000,20,9,100000119596344,63
100000119596344_2458497200830909,,13,0,2018-07-02 17:00:00.000,0,0,100000119596344,13
100000119596344_2458513137495982,,29,3,2018-07-02 17:00:00.000,28,0,100000119596344,29
100000119596344_2458635227483773,,40,126,2018-07-02 17:00:00.000,13,0,100000119596344,40
100000119596344_2459184637428832,,27,1,2018-07-02 17:00:00.000,28,0,100000119596344,27
100000119596344_2460508800629749,,33,1,2018-07-03 17:00:00.000,30,0,100000119596344,33
100000119596344_2462692880411341,,100,5,2018-07-04 17:00:00.000,97,0,100000119596344,100
100000119596344_2462933773720585,,46,19,2018-07-04 17:00:00.000,29,0,100000119596344,46
100000119596344_2463946646952631,,32,2,2018-07-04 17:00:00.000,33,0,100000119596344,32
100000119596344_2465245313489431,,33,3,2018-07-05 17:00:00.000,29,0,100000119596344,33
100000119596344_2465997586747537,,38,10,2018-07-05 17:00:00.000,30,0,100000119596344,38
100000119596344_2466077670072862,,49,8,2018-07-05 17:00:00.000,41,0,100000119596344,49
100000119596344_2467370913276871,,30,5,2018-07-06 17:00:00.000,26,0,100000119596344,30
100000119596344_2467389926608303,0,93,660,2018-07-06 17:00:00.000,34,30,100000119596344,93
100000119596344_2467958846551411,,57,13,2018-07-06 17:00:00.000,49,0,100000119596344,57
100000119596344_2468248756522420,0,101,834,2018-07-06 17:00:00.000,27,46,100000119596344,101
100000119596344_2470588016288494,,43,302,2018-07-07 17:00:00.000,14,20,100000119596344,43
100000119596344_2470718719608757,,32,238,2018-07-07 17:00:00.000,11,5,100000119596344,32
100000119596344_2472361816111114,,41,8,2018-07-08 17:00:00.000,35,0,100000119596344,41
100000119596344_2472734679407161,,47,3,2018-07-08 17:00:00.000,45,0,100000119596344,47
100000119596344_2473833815963914,,21,4,2018-07-09 17:00:00.000,17,0,100000119596344,21
100000119596344_2474005809280048,,9,2,2018-07-09 17:00:00.000,7,0,100000119596344,9
100000119596344_2474027875944508,0,72,678,2018-07-09 17:00:00.000,16,94,100000119596344,72
100000119596344_2474396242574338,,35,3,2018-07-09 17:00:00.000,31,0,100000119596344,35
100000119596344_2474832012530761,,31,0,2018-07-09 17:00:00.000,33,0,100000119596344,31
100000119596344_2476854178995211,,46,6,2018-07-10 17:00:00.000,43,0,100000119596344,46
100000119596344_2479156012098361,,24,1,2018-07-12 17:00:00.000,24,0,100000119596344,24
100000119596344_2480723045274991,,33,2,2018-07-12 17:00:00.000,31,0,100000119596344,33
100000119596344_2480838658596763,0,29,64,2018-07-12 17:00:00.000,11,8,100000119596344,29
100000119596344_2480874831926479,,22,2,2018-07-12 17:00:00.000,20,0,100000119596344,22
100000119596344_2480891218591507,,23,3,2018-07-12 17:00:00.000,20,0,100000119596344,23
100000119596344_2481055851908377,0,51,184,2018-07-12 17:00:00.000,16,97,100000119596344,51
100000119596344_2483007225046573,,36,1,2018-07-13 17:00:00.000,36,0,100000119596344,36
100000119596344_2483009561713006,0,61,358,2018-07-13 17:00:00.000,23,101,100000119596344,61
100000119596344_2484925478188081,,35,3,2018-07-14 17:00:00.000,33,0,100000119596344,35
100000119596344_2485066528173976,,113,919,2018-07-14 17:00:00.000,25,86,100000119596344,113
100000119596344_2486415264705769,,44,10,2018-07-15 17:00:00.000,34,0,100000119596344,44
100000119596344_2487260634621232,,16,1,2018-07-15 17:00:00.000,15,0,100000119596344,16
100000119596344_2487261514621144,0,55,392,2018-07-15 17:00:00.000,16,37,100000119596344,55
100000119596344_2488575407823088,,36,11,2018-07-16 17:00:00.000,30,0,100000119596344,36
100000119596344_2488653127815316,,47,327,2018-07-16 17:00:00.000,14,21,100000119596344,47
100000119596344_2489615881052374,,34,2,2018-07-16 17:00:00.000,32,0,100000119596344,34
100000119596344_2489625174384778,0,60,208,2018-07-16 17:00:00.000,15,73,100000119596344,60
100000119596344_2491352180878744,,28,3,2018-07-17 17:00:00.000,26,0,100000119596344,28
100000119596344_2491884080825554,,76,3,2018-07-17 17:00:00.000,76,0,100000119596344,76
100000119596344_2493756080638354,,26,0,2018-07-18 17:00:00.000,27,0,100000119596344,26
100000119596344_2497459943601301,,27,3,2018-07-20 17:00:00.000,26,0,100000119596344,27
100000119596344_2498661713481124,,28,1,2018-07-21 17:00:00.000,27,0,100000119596344,28
100000119596344_2499532143394081,,26,2,2018-07-21 17:00:00.000,24,0,100000119596344,26
100000119596344_2499627860051176,,16,5,2018-07-21 17:00:00.000,13,0,100000119596344,16
100000119596344_2499991580014804,,16,0,2018-07-21 17:00:00.000,16,1,100000119596344,16
100000119596344_2500071086673520,,17,1,2018-07-21 17:00:00.000,16,0,100000119596344,17
100000119596344_2500727296607899,,13,0,2018-07-21 17:00:00.000,13,0,100000119596344,13
100000119596344_2504325086248120,,23,5,2018-07-23 17:00:00.000,19,0,100000119596344,23
100000119596344_2506142376066391,,19,3,2018-07-24 17:00:00.000,17,0,100000119596344,19
100000119596344_2506275452719750,0,61,187,2018-07-24 17:00:00.000,16,54,100000119596344,61
100000119596344_2508157685864860,,48,6,2018-07-25 17:00:00.000,44,0,100000119596344,48
100000119596344_2511451268868835,,35,5,2018-07-26 17:00:00.000,32,0,100000119596344,35
100000119596344_2512383992108896,,38,11,2018-07-27 17:00:00.000,36,0,100000119596344,38
100000119596344_2515616848452277,,56,10,2018-07-28 17:00:00.000,50,0,100000119596344,56
100000119596344_2517332971613998,,37,13,2018-07-29 17:00:00.000,29,1,100000119596344,37
100000119596344_2518721978141764,,28,5,2018-07-30 17:00:00.000,24,0,100000119596344,28
100000119596344_2518885354792093,,4,0,2018-07-30 17:00:00.000,4,2,100000119596344,4
