,to_user,brand,AF score
44,429300583784286,enfa,210.52896456027653
33,153740148098439,similac,56.99375540881444
31,153740148098439,enfa,52.344577210466284
60,2021818394720178,similac,51.582838342063965
56,1748451012073433,similac,47.44455109161321
50,934843353261264,similac,43.88564078165309
35,189822711065364,friso,43.27316386812373
36,227853940672656,similac,42.86727705941206
57,1797695590515780,similac,41.62595670522922
54,1736002153287053,optimum,35.81801826989364
55,1748451012073433,enfa,27.463034617065972
59,2021818394720178,enfa,25.644830860305177
29,138261313325928,similac,24.065810700915847
58,1811892812375557,optimum,22.515323379079653
28,108220253228830,similac,21.973129979330903
43,386981281345063,friso,21.503266588045204
49,558702127594646,similac,19.750166629996592
34,189822711065364,enfa,19.71911051419916
27,108220253228830,enfa,18.630773097691677
18,100006134349556,friso,18.47547286031743
22,100008835062694,similac,16.695407535285334
21,100006577177813,similac,15.342737914639248
19,100006134349556,similac,15.28673412986947
7,100000009146191,similac,15.155342044673823
1,709322632,similac,14.88313566474217
2,1629319941,enfa,14.591501442818505
0,684600531,similac,14.268805369146746
52,1078150692266629,similac,12.85401323325204
17,100006134349556,enfa,11.634222319926407
48,558702127594646,friso,9.996613530525611
6,249295085540,similac,8.424419791263883
45,458190347605268,similac,8.391629968440892
32,153740148098439,friso,8.237479288613633
16,100006059135882,similac,8.165363632473982
38,245796775505303,enfa,7.934871565945176
30,153475957997899,similac,7.898782356970309
40,285757994777549,similac,7.774435510302958
13,100002708846347,enfa,7.507141079727608
8,100000641426063,enfa,7.422971251049421
4,107753422479,similac,7.400009517162692
23,100010474243709,similac,7.076653815443951
20,100006492785190,similac,7.049254841255837
51,1078150692266629,enfa,6.56244409369372
26,100783053818249,similac,6.405228458030842
42,332042093538446,similac,5.720311776607412
3,1794342963,similac,5.293304824724492
10,100001277921015,similac,5.043425116919247
14,100004097630026,similac,4.990432586778736
53,1405462003056039,similac,4.762173934797756
15,100005723490568,enfa,4.394449154672439
11,100001852669374,enfa,4.31748811353631
5,157047117006,friso,3.784189633918261
37,228943997556127,similac,3.401197381662155
25,100012326612818,similac,3.258096538021482
12,100001852669374,similac,3.091042453358316
24,100011674677384,enfa,2.6390573296152584
39,285757994777549,friso,2.4849066497880004
9,100001229816317,similac,1.9459101490553132
47,518642984983091,similac,0.6931471805599453
46,518642984983091,enfa,0.6931471805599453
41,318092495364075,similac,0.0
