fid,sub score,from_user_id,comments_count,created_date,likes_count,shares_count,to_user,brand,AF score
100000009146191_2206807409329542,0.0,1032,65,2018-10-27 15:34:00.000,5063,44,100000009146191,similac,1032.0
100000009146191_2207667979243485,9.0,3691,24,2018-10-28 05:31:00.000,3675,32,100000009146191,similac,3700.0
100000197527970_2471444559538771,0.0,1143,54,2018-12-29 17:00:00.000,1126,8,100000197527970,nan,1143.0
100000216274240_2597813270235857,0.0,2024,73,2018-10-31 09:26:11.378,2079,5,100000216274240,nan,2024.0
100000216274240_2654756267874890,0.0,1270,56,2018-12-08 12:42:00.000,1004,3,100000216274240,nan,1270.0
100000271946723_2257434657608910,,996,50,2018-12-26 17:00:00.000,963,4,100000271946723,nan,996.0
100000271946723_2261340137218362,0.0,1102,62,2018-12-29 17:00:00.000,1025,5,100000271946723,nan,1102.0
100000339992442_2091510330870280,,417,42,2018-12-11 02:11:00.000,410,0,100000339992442,nan,417.0
100000339992442_2105712676116712,,162,67,2018-12-21 02:54:00.000,162,6,100000339992442,nan,162.0
100000339992442_2117609728260340,0.0,642,81,2018-12-28 17:00:00.000,541,7,100000339992442,nan,642.0
100000578800959_2403595796336357,0.0,407,44,2018-12-22 13:06:00.000,693,3,100000578800959,nan,407.0
100000641426063_2133725579992135,0.0,1674,76,2018-10-04 05:49:00.000,1669,24,100000641426063,enfa,1674.0
100000941004296_2448311395210203,,1114,86,2018-12-30 17:00:00.000,986,5,100000941004296,nan,1114.0
100001229816317_2074166142634359,,154,0,2018-10-25 03:35:00.000,156,0,100001229816317,nan,154.0
100001229816317_2140722512645388,,7,1,2018-12-10 14:01:00.000,6,0,100001229816317,nan,7.0
100001229816317_2140722512645388,,7,1,2018-12-10 14:01:00.000,6,0,100001229816317,similac,7.0
100001229816317_2150526121665027,,9,2,2018-12-17 05:33:00.000,6,0,100001229816317,nan,9.0
100001277921015_2030455353673709,,155,13,2018-10-08 17:00:00.000,157,0,100001277921015,similac,155.0
100001596172934_2205965629466621,0.0,1691,79,2018-12-30 17:00:00.000,1548,6,100001596172934,nan,1691.0
100001629034111_2046824552048493,,820,39,2018-12-08 15:17:00.000,832,0,100001629034111,nan,820.0
100001629034111_2077640888966859,0.0,874,62,2018-12-28 17:00:00.000,860,5,100001629034111,nan,874.0
100001852669374_2341268345944898,,22,5,2018-12-13 22:12:00.000,18,0,100001852669374,similac,22.0
100001852669374_2348511391887260,0.0,15,1,2018-12-17 14:27:00.000,11,2,100001852669374,enfa,15.0
100001852669374_2353234611414938,,5,1,2018-12-19 23:36:00.000,4,0,100001852669374,enfa,5.0
100002708846347_1567835263316753,0.0,1821,74,2018-10-04 03:59:00.000,1801,8,100002708846347,enfa,1821.0
100002952919951_1823940351047711,,270,44,2018-12-20 12:41:00.000,431,0,100002952919951,nan,270.0
100004097630026_1661843833962188,0.0,147,124,2018-11-22 17:00:00.000,123,11,100004097630026,similac,147.0
100004779762337_1181403445362303,,983,115,2018-12-29 17:00:00.000,1002,9,100004779762337,nan,983.0
100004868344872_1068361193336149,,1275,58,2018-12-28 17:00:00.000,1206,5,100004868344872,nan,1275.0
100005723490568_1010330942501013,,81,2,2018-10-08 01:45:00.000,80,0,100005723490568,enfa,81.0
100006059135882_2147702788775005,0.0,3517,244,2018-10-28 13:00:00.000,943,211,100006059135882,similac,3517.0
100006134349556_2151076595106798,2.0,12,2,2018-10-03 00:47:00.000,9,1,100006134349556,similac,14.0
100006134349556_2152074275007030,0.0,7,1,2018-10-05 00:34:00.000,5,1,100006134349556,enfa,7.0
100006134349556_2152609504953507,0.0,9,0,2018-10-06 00:04:00.000,8,1,100006134349556,similac,9.0
100006134349556_2152616054952852,0.0,17,4,2018-10-06 00:27:00.000,11,1,100006134349556,nan,17.0
100006134349556_2154928591388265,0.0,40,11,2018-10-10 09:34:00.000,29,1,100006134349556,nan,40.0
100006134349556_2155247471356377,3.0,7,0,2018-10-11 00:28:00.000,6,3,100006134349556,similac,10.0
100006134349556_2156195727928218,0.0,7,2,2018-10-13 01:11:00.000,4,1,100006134349556,nan,7.0
100006134349556_2156666591214465,0.0,14,2,2018-10-14 00:42:00.000,11,1,100006134349556,enfa,14.0
100006134349556_2156682014546256,0.0,46,25,2018-10-14 01:40:00.000,36,3,100006134349556,nan,46.0
100006134349556_2157655207782270,0.0,16,2,2018-10-16 00:55:00.000,13,1,100006134349556,nan,16.0
100006134349556_2157808994433558,,23,2,2018-10-16 09:16:00.000,22,0,100006134349556,friso,23.0
100006134349556_2165419733672484,0.0,8,1,2018-10-30 23:58:00.000,6,1,100006134349556,enfa,8.0
100006134349556_2165430827004708,0.0,9,0,2018-10-31 00:32:00.000,8,2,100006134349556,friso,9.0
100006134349556_2165431893671268,0.0,8,1,2018-10-31 00:34:00.000,6,1,100006134349556,nan,8.0
100006134349556_2165918803622577,0.0,15,2,2018-11-01 00:26:00.000,14,1,100006134349556,friso,15.0
100006134349556_2166058103608647,0.0,16,2,2018-11-01 08:11:00.000,15,1,100006134349556,nan,16.0
100006134349556_2166461596901631,0.0,7,1,2018-11-02 01:43:00.000,5,1,100006134349556,friso,7.0
100006134349556_2167605246787266,0.0,12,1,2018-11-04 00:50:00.000,10,1,100006134349556,nan,12.0
100006134349556_2172529512961506,0.0,12,3,2018-11-13 00:27:00.000,8,1,100006134349556,nan,12.0
100006134349556_2172530056294785,0.0,6,1,2018-11-13 00:28:00.000,5,1,100006134349556,enfa,6.0
100006134349556_2172556706292120,0.0,6,0,2018-11-13 01:48:00.000,5,1,100006134349556,friso,6.0
100006134349556_2173091246238666,0.0,9,0,2018-11-14 00:15:00.000,8,1,100006134349556,friso,9.0
100006134349556_2184773891737068,0.0,15,3,2018-12-03 13:36:00.000,11,1,100006134349556,nan,15.0
100006134349556_2186894628191661,0.0,5,0,2018-12-07 00:31:00.000,4,1,100006134349556,nan,5.0
100006134349556_2189663681248089,0.0,9,3,2018-12-11 05:47:00.000,4,1,100006134349556,similac,9.0
100006134349556_2191178411096616,0.0,16,1,2018-12-13 08:42:00.000,14,1,100006134349556,similac,16.0
100006134349556_2192805337600590,0.0,3,0,2018-12-16 00:46:00.000,2,1,100006134349556,similac,3.0
100006134349556_2194543217426802,0.0,6,0,2018-12-19 00:30:00.000,5,1,100006134349556,enfa,6.0
100006134349556_2196256560588801,0.0,8,3,2018-12-22 00:45:00.000,4,1,100006134349556,similac,8.0
100006134349556_2196828483864942,0.0,4,0,2018-12-23 00:15:00.000,3,1,100006134349556,enfa,4.0
100006134349556_2197402257140898,0.0,5,0,2018-12-23 23:57:00.000,4,1,100006134349556,friso,5.0
100006134349556_2199344186946705,0.0,18,6,2018-12-27 02:01:00.000,12,1,100006134349556,friso,18.0
100006331954330_2340381849516191,0.0,818,83,2018-12-28 17:00:00.000,670,5,100006331954330,nan,818.0
100006492785190_2526496004243468,0.0,1152,111,2018-11-23 13:05:00.000,1168,11,100006492785190,similac,1152.0
100006577177813_2261665887395962,0.0,461,95,2018-10-02 17:00:00.000,482,17,100006577177813,similac,461.0
100006577177813_2289877657908118,0.0,666,106,2018-11-21 17:00:00.000,641,11,100006577177813,similac,666.0
100006577177813_2301977910031426,,15,104,2018-12-10 17:00:00.000,976,0,100006577177813,similac,15.0
100007251934595_2194189014166142,0.0,756,50,2018-12-28 17:00:00.000,701,5,100007251934595,nan,756.0
100008835062694_1931247523846398,,4207,8,2018-10-25 02:45:00.000,10624,5,100008835062694,similac,4207.0
100008835062694_1931692447135239,0.0,4234,27,2018-10-26 04:40:00.000,11777,8,100008835062694,similac,4234.0
100010474243709_754211498271318,0.0,1184,31,2018-12-26 05:00:00.000,1124,39,100010474243709,similac,1184.0
100011674677384_736056833460132,,14,57,2018-12-16 03:47:00.000,1077,0,100011674677384,enfa,14.0
100012326612818_583372312083651,,26,16,2018-12-25 17:00:00.000,14,0,100012326612818,similac,26.0
100012326612818_585133238574225,0.0,781,67,2018-12-28 17:00:00.000,718,1,100012326612818,nan,781.0
100783053818249_368855973677621,0.0,605,38,2018-12-25 17:00:00.000,572,18,100783053818249,similac,605.0
107753422479_10156768478192480,0.0,1636,41,2018-10-27 08:53:00.000,1622,0,107753422479,similac,1636.0
1078150692266629_1897258920355798,,1,1,2018-10-05 17:22:00.000,1,0,1078150692266629,enfa,1.0
1078150692266629_1897258920355798,,1,1,2018-10-05 17:22:00.000,1,0,1078150692266629,similac,1.0
1078150692266629_1904029409678749,,1,0,2018-10-12 12:02:00.000,1,0,1078150692266629,enfa,1.0
1078150692266629_1904029409678749,,1,0,2018-10-12 12:02:00.000,1,0,1078150692266629,similac,1.0
1078150692266629_1922719731143050,,1,0,2018-10-24 15:38:00.000,1,0,1078150692266629,enfa,1.0
1078150692266629_1922988867782803,,2,2,2018-11-01 16:00:00.000,1,0,1078150692266629,enfa,2.0
1078150692266629_1922988867782803,,2,2,2018-11-01 16:00:00.000,1,0,1078150692266629,similac,2.0
1078150692266629_1922996334448723,,1,0,2018-11-06 03:00:00.000,1,0,1078150692266629,enfa,1.0
1078150692266629_1922996334448723,,1,0,2018-11-06 03:00:00.000,1,0,1078150692266629,similac,1.0
1078150692266629_1933269240088099,,2,2,2018-10-31 14:36:43.624,1,0,1078150692266629,enfa,2.0
1078150692266629_1933269240088099,,2,2,2018-10-31 14:36:43.624,1,0,1078150692266629,similac,2.0
1078150692266629_1934644916617198,,177,4,2018-11-01 06:29:00.000,176,0,1078150692266629,enfa,177.0
1078150692266629_1934644916617198,,177,4,2018-11-01 06:29:00.000,176,0,1078150692266629,similac,177.0
1078150692266629_1936394733108883,,1,0,2018-11-02 03:59:00.000,1,0,1078150692266629,enfa,1.0
1078150692266629_1936394733108883,,1,0,2018-11-02 03:59:00.000,1,0,1078150692266629,similac,1.0
1078150692266629_1937806252967731,,1,0,2018-11-03 03:20:00.000,1,0,1078150692266629,enfa,1.0
1078150692266629_1937806252967731,,1,0,2018-11-03 03:20:00.000,1,0,1078150692266629,similac,1.0
1078150692266629_1944460505635639,,540,9,2018-11-08 04:38:00.000,534,0,1078150692266629,similac,540.0
108220253228830_252130698837784,,20,3,2018-10-02 08:30:00.000,19,0,108220253228830,enfa,20.0
108220253228830_252130698837784,,20,3,2018-10-02 08:30:00.000,19,0,108220253228830,similac,20.0
108220253228830_252382045479316,,18,6,2018-10-03 03:39:00.000,13,0,108220253228830,similac,18.0
108220253228830_252714012112786,,16,1,2018-10-04 07:03:00.000,14,1,108220253228830,enfa,16.0
108220253228830_252714012112786,,16,1,2018-10-04 07:03:00.000,14,1,108220253228830,similac,16.0
108220253228830_253678388683015,,18,2,2018-10-07 09:29:00.000,16,1,108220253228830,enfa,18.0
108220253228830_253678388683015,,18,2,2018-10-07 09:29:00.000,16,1,108220253228830,similac,18.0
108220253228830_253934548657399,,45,18,2018-10-08 04:37:00.000,28,3,108220253228830,enfa,45.0
108220253228830_253934548657399,,45,18,2018-10-08 04:37:00.000,28,3,108220253228830,similac,45.0
108220253228830_256156838435170,,22,7,2018-10-15 13:33:00.000,16,0,108220253228830,similac,22.0
108220253228830_283985202319000,,34,10,2018-12-26 17:00:00.000,25,2,108220253228830,enfa,34.0
108220253228830_283985202319000,,34,10,2018-12-26 17:00:00.000,25,2,108220253228830,similac,34.0
108220253228830_284669642250556,,14,1,2018-12-27 17:00:00.000,12,0,108220253228830,enfa,14.0
1368099604_10213275946197687,0.0,863,4,2018-12-15 08:23:00.000,861,3,1368099604,nan,863.0
138261313325928_266716213991041,,9,3,2018-12-14 12:33:00.000,8,0,138261313325928,similac,9.0
138261313325928_271711480168091,,5,1,2018-12-12 04:27:00.000,4,0,138261313325928,similac,5.0
138261313325928_409312893147613,,22,17,2018-12-14 08:30:00.000,12,2,138261313325928,similac,22.0
138261313325928_499190213899701,,3,0,2018-11-05 06:26:00.000,3,0,138261313325928,similac,3.0
138261313325928_514977932320929,0.0,7,2,2018-12-05 10:11:00.000,5,2,138261313325928,similac,7.0
138261313325928_519698771848845,,9,9,2018-12-13 04:26:00.000,6,0,138261313325928,similac,9.0
138261313325928_520816281737094,0.0,8,7,2018-12-15 06:38:00.000,5,1,138261313325928,similac,8.0
138261313325928_520823065069749,,5,3,2018-12-15 07:01:00.000,4,0,138261313325928,similac,5.0
138261313325928_521891558296233,,21,9,2018-12-17 06:32:00.000,14,0,138261313325928,similac,21.0
138261313325928_522373188248070,,9,5,2018-12-18 05:32:00.000,9,0,138261313325928,similac,9.0
138261313325928_525534007931988,0.0,5,0,2018-12-24 10:34:49.399,4,1,138261313325928,similac,5.0
138261313325928_534730276937917,,4,6,2018-12-17 13:35:00.000,4,0,138261313325928,similac,4.0
1405462003056039_2224068444528720,0.0,117,2,2018-12-01 03:28:00.000,97,47,1405462003056039,similac,117.0
149461478419983_1146752002157307,0.0,8526,10972,2018-12-08 12:39:00.000,16198,1317,149461478419983,nan,8526.0
153475957997899_2220382594640548,0.0,2694,21,2018-12-20 13:14:00.000,2682,5,153475957997899,similac,2694.0
153740148098439_1279560722183037,0.0,587,108,2018-10-05 14:00:00.000,548,124,153740148098439,enfa,587.0
153740148098439_1282527128553063,0.0,216,105,2018-10-10 02:11:00.000,131,10,153740148098439,nan,216.0
153740148098439_1283113068494469,,41,12,2018-10-11 02:00:00.000,32,1,153740148098439,nan,41.0
153740148098439_1284460785026364,,12,2,2018-10-14 04:00:00.000,10,0,153740148098439,enfa,12.0
153740148098439_1284460785026364,,12,2,2018-10-14 04:00:00.000,10,0,153740148098439,similac,12.0
153740148098439_1285754184897024,0.0,326,94,2018-10-15 07:18:00.000,259,9,153740148098439,enfa,326.0
