fid,sub score,from_user_id,comments_count,created_date,likes_count,shares_count,to_user,AF score
100000001126549_1125304994146194,,847,62,2018-12-28 17:00:00.000,823,0,100000001126549,847
100000001126549_1247695681907124,,17,0,2018-12-24 07:09:00.000,892,0,100000001126549,17
100000001126549_2216441715032511,,2055,68,2018-10-03 15:53:00.000,2061,0,100000001126549,2055
100000001126549_2220591361284213,,2100,58,2018-10-06 12:48:00.000,2081,0,100000001126549,2100
100000001126549_2222130227796993,,2054,55,2018-10-07 11:35:00.000,2043,0,100000001126549,2054
100000001126549_2225169494159733,,1108,18,2018-10-09 13:28:00.000,916,0,100000001126549,1108
100000001126549_2228027793873903,0,2295,270,2018-10-11 12:55:00.000,2083,51,100000001126549,2295
100000001126549_2229555987054417,0,1362,151,2018-10-12 13:46:00.000,1343,25,100000001126549,1362
100000001126549_2229589407051075,0,1596,658,2018-10-12 14:07:00.000,1549,42,100000001126549,1596
100000001126549_2235317796478236,0,1644,72,2018-10-16 14:02:00.000,1622,5,100000001126549,1644
100000001126549_2236032103073472,,1274,72,2018-10-17 01:15:00.000,1672,0,100000001126549,1274
100000001126549_2283197235023625,,1083,58,2018-11-16 01:01:00.000,1139,0,100000001126549,1083
100000001126549_2325582437451771,,16,79,2018-12-13 12:55:00.000,1096,0,100000001126549,16
100000001126549_2328383147171700,,12,41,2018-12-15 10:47:00.000,90,0,100000001126549,12
100000001126549_2328615753815106,,13,34,2018-12-15 14:20:00.000,1064,0,100000001126549,13
100000001126549_2330081977001817,,12,36,2018-12-16 14:28:38.283,73,0,100000001126549,12
100000001126549_2338567832819898,,11,60,2018-12-22 04:45:00.000,1034,0,100000001126549,11
100000001126549_2339004422776239,,14,76,2018-12-22 12:55:00.000,1328,0,100000001126549,14
100000001126549_2345833628759985,,885,79,2018-12-26 17:00:00.000,821,0,100000001126549,885
100000001126549_2346305765379438,,731,72,2018-12-26 17:00:00.000,702,0,100000001126549,731
100000001126549_2350411781635503,,1131,56,2018-12-29 17:00:00.000,901,0,100000001126549,1131
100000001126549_2352764191400262,,612,75,2018-12-30 17:00:00.000,555,0,100000001126549,612
100000088513227_1087589744587299,,1588,100,2018-12-18 06:23:00.323,1834,0,100000088513227,1588
100000088513227_1230208876992051,,1890,74,2018-12-16 14:18:00.000,2145,0,100000088513227,1890
100000088513227_1399568810056056,,2573,65,2018-11-22 03:44:00.000,1884,0,100000088513227,2573
