,from_user,fid,cluster,num_ge_post,cc score
0,639243065,9,4,1457,137.0115815388576
1,726459997,1,4,1457,41.244595796557505
2,792112070,2,4,1457,65.37113769494508
3,1040244313,3,4,1457,82.48919159311501
4,1134915007,2,1,1080,25.447025977754386
5,1152666961,6,2,1652,128.42706534436854
6,1184288168,1,1,1080,16.05528582927105
7,1813609485,1,4,1457,41.244595796557505
8,1820779485,1,4,1457,41.244595796557505
9,100000024986136,1,1,1080,16.05528582927105
10,100000079497637,1,2,1652,45.74664369485568
11,100000140034365,13,1,1080,46.038791818330296
12,100000154057405,9,1,1080,53.33450506770245
13,100000200416387,12,4,1457,131.65009299910207
14,100000346576277,21,2,1652,142.2086340443403
15,100001203903024,5,3,133,12.032253369998617
16,100001418031144,1,4,1457,41.244595796557505
17,100001527612391,16,4,1457,145.419167495938
18,100005379788218,2,1,1080,25.447025977754386
19,100007046012116,4,4,1457,95.76698574230008
20,100011800291171,1,1,1080,16.05528582927105
