fid,name,category,total_follower,total_friend,Nr_Posts,af_score
639243065,Minh Hòa,tol,8713,0,81,137.078431372549
1184288168,Trần Đặng Đăng Khoa,tol,202716,0,11,2817.47058823529
100001103869733,Thanh Thanh La (Fung Skull),tol,98332,0,10,2328.82352941177
100000346576277,Tony Phùng (Phùng Tuấn Anh),tol,14208,0,54,186.082191780822
100001527612391,Nhựt Hùng (nhuthungfoto),tol,1201,4963,33,118.904761904762
737522356,Pham An Duong (apham),tol,1786,4527,39,107.156626506024
1040244313,Huỳnh Trí Nghĩa (nemotion),tol,9236,0,13,187.575757575758
792112070,Dat Vu Nguyen (Antondat),tol,0,1901,21,88.1794871794872
726459997,Nam Nguyễn,tol,406,0,23,154
100000200416387,Bành Tuấn An (An Aquarius),tol,1576,0,30,46.6781609195402
1152666961,Trần Hiệp,tol,74819,0,13,163.649371069182
100001203903024,Dinh The Anh,tol,7666,0,12,352.128205128205
100005102344459,0,tol,0,0,4,116.916666666667
1813609485,Tăng Thiên Hải (Louis Tang),tol,0,4112,30,53
100000140034365,Bui An,tol,10969,0,24,495.061224489796
1134915007,Mạch Huy,tol,30831,0,3,1143.09677419355
1820779485,Le Bao Long,tol,347,0,10,36.1379310344828
100000154057405,Huy Nguyen (Huy NL),tol,10318,0,40,218.962962962963
100007046012116,0,tol,0,0,4,43.3913043478261
100001418031144,Lại Hiếu,tol,0,2879,2,42.2
100005379788218,Vinh Trần (Vật Vờ),tol,132309,0,2,360.404255319149
100000079497637,0,tol,11517,0,1,171.555555555556
100011800291171,0,tol,14688,0,1,273.636363636364
100000024986136,0,tol,17300,0,1,296.5
100005762673645,0,tol,5715,0,1,124.742857142857
